transition,k,singular_value,normalized
L27_to_L28,1,2112.1669921875,0.7417986989021301
L27_to_L28,2,1895.7891845703125,0.665806233882904
L27_to_L28,3,1633.4918212890625,0.5736867189407349
L27_to_L28,4,1555.60986328125,0.5463343858718872
L27_to_L28,5,1402.854248046875,0.4926861822605133
L27_to_L28,6,1316.4517822265625,0.46234139800071716
L27_to_L28,7,1265.5997314453125,0.4444820284843445
L27_to_L28,8,1159.4517822265625,0.4072025716304779
L27_to_L28,9,1142.05859375,0.4010940492153168
L27_to_L28,10,1069.496826171875,0.3756101429462433
L27_to_L28,11,1043.0311279296875,0.3663153350353241
L27_to_L28,12,1026.0855712890625,0.36036401987075806
L27_to_L28,13,926.88623046875,0.3255249261856079
L27_to_L28,14,886.27783203125,0.31126314401626587
L27_to_L28,15,859.511474609375,0.3018627464771271
L27_to_L28,16,830.4750366210938,0.29166507720947266
L27_to_L28,17,730.7522583007812,0.2566421627998352
L27_to_L28,18,708.3074951171875,0.24875949323177338
L27_to_L28,19,675.5326538085938,0.23724888265132904
L27_to_L28,20,652.4486083984375,0.2291416972875595
L27_to_L28,21,626.3024291992188,0.21995909512043
L27_to_L28,22,601.5380859375,0.2112617939710617
L27_to_L28,23,568.8189086914062,0.1997707337141037
L27_to_L28,24,560.3876342773438,0.19680963456630707
L27_to_L28,25,547.806640625,0.19239115715026855
L27_to_L28,26,536.6408081054688,0.18846969306468964
L27_to_L28,27,501.7503967285156,0.17621608078479767
L27_to_L28,28,499.6095275878906,0.1754642128944397
L27_to_L28,29,481.35400390625,0.1690528243780136
L27_to_L28,30,455.3174743652344,0.159908726811409
L27_to_L28,31,434.596923828125,0.15263161063194275
L27_to_L28,32,421.6800231933594,0.14809516072273254
L27_to_L28,33,416.9711608886719,0.14644138514995575
L27_to_L28,34,399.2752990722656,0.1402265578508377
L27_to_L28,35,381.6541748046875,0.13403797149658203
L27_to_L28,36,366.3836975097656,0.1286749392747879
L27_to_L28,37,352.8723449707031,0.1239297166466713
L27_to_L28,38,351.68756103515625,0.1235136166214943
L27_to_L28,39,344.5517578125,0.12100750207901001
L27_to_L28,40,328.1125793457031,0.11523401737213135
L27_to_L28,41,321.7640686035156,0.1130044013261795
L27_to_L28,42,309.6647033691406,0.10875507444143295
L27_to_L28,43,295.71429443359375,0.10385565459728241
L27_to_L28,44,290.5215148925781,0.10203193873167038
L27_to_L28,45,280.3046875,0.09844376146793365
L27_to_L28,46,268.7200927734375,0.09437521547079086
L27_to_L28,47,265.6396179199219,0.09329334646463394
L27_to_L28,48,258.4418029785156,0.09076545387506485
L27_to_L28,49,251.98779296875,0.0884987860918045
L27_to_L28,50,246.7052459716797,0.08664354681968689
L27_to_L28,51,236.92776489257812,0.08320966362953186
L27_to_L28,52,234.9761962890625,0.08252426981925964
L27_to_L28,53,227.5052490234375,0.07990045100450516
L27_to_L28,54,224.95303344726562,0.07900410890579224
L27_to_L28,55,217.46414184570312,0.07637398689985275
L27_to_L28,56,208.6819305419922,0.073289655148983
L27_to_L28,57,204.9203338623047,0.07196857035160065
L27_to_L28,58,200.18238830566406,0.07030459493398666
L27_to_L28,59,195.86477661132812,0.06878823786973953
L27_to_L28,60,191.9109344482422,0.06739963591098785
L27_to_L28,61,187.1744384765625,0.06573616713285446
L27_to_L28,62,182.09779357910156,0.06395323574542999
L27_to_L28,63,178.24839782714844,0.06260131299495697
L27_to_L28,64,170.2313690185547,0.059785712510347366
L27_to_L28,65,165.38270568847656,0.05808284878730774
L27_to_L28,66,161.90328979492188,0.056860871613025665
L27_to_L28,67,156.69288635253906,0.05503096058964729
L27_to_L28,68,154.39842224121094,0.0542251393198967
L27_to_L28,69,149.22061157226562,0.0524066798388958
L27_to_L28,70,143.72488403320312,0.0504765659570694
L27_to_L28,71,141.8322296142578,0.04981185868382454
L27_to_L28,72,134.8800048828125,0.047370221465826035
L27_to_L28,73,132.85580444335938,0.04665931686758995
L27_to_L28,74,131.9145965576172,0.04632876068353653
L27_to_L28,75,127.99977111816406,0.04495386406779289
L27_to_L28,76,122.03347778320312,0.042858485132455826
L27_to_L28,77,120.56231689453125,0.04234180971980095
L27_to_L28,78,115.69075775146484,0.04063090309500694
L27_to_L28,79,114.10855865478516,0.04007523134350777
L27_to_L28,80,108.93641662597656,0.038258761167526245
L27_to_L28,81,101.71887969970703,0.03572394326329231
L27_to_L28,82,97.29936981201172,0.034171801060438156
L27_to_L28,83,93.39109802246094,0.03279920294880867
